method,threshold,iterations,seed,precision,recall,f1,mmr,coverage,sensitivity,ppv,accuracy,mean_size,median_size,num_modules,n_proteins_assigned,n_overlapping_proteins,overlap_protein_fraction,go_coherence,functional_specificity,modules_with_nongeneric_go_fraction,evidence_bundle_completeness,runtime_sec
SLPA,0.05,100,42,0.263681592039801,0.08688524590163935,0.13070283600493218,0.06828201332718965,0.14622124863088717,0.08688524590163935,0.263681592039801,0.10206422018348624,12.447761194029852,5.0,201,1848,481,0.2602813852813853,0.08366323215230327,0.9901935874206305,1.0,0.0,1.8096840381622314
SLPA,0.1,100,42,0.29411764705882354,0.08196721311475409,0.12820512820512822,0.06360650673391756,0.13964950711938665,0.08196721311475409,0.29411764705882354,0.09747706422018348,13.294117647058824,5.0,170,1848,349,0.18885281385281386,0.08455914192881185,0.9896777177496554,1.0,0.0,1.5884149074554443
SLPA,0.15,100,42,0.2974683544303797,0.07704918032786885,0.12239583333333334,0.061178889071305184,0.13472070098576122,0.07704918032786885,0.2974683544303797,0.09403669724770643,13.525316455696203,6.0,158,1848,265,0.14339826839826839,0.09632293222530887,0.9903558582932162,1.0,0.0,1.495021104812622
SLPA,0.2,100,42,0.3202614379084967,0.08032786885245902,0.12844036697247704,0.06264155297183265,0.13964950711938665,0.08032786885245902,0.3202614379084967,0.09747706422018348,13.49673202614379,5.0,153,1848,205,0.11093073593073594,0.10484295756079338,0.9900186324773961,1.0,0.0,1.5228171348571777
