community_id,protein_id,membership_type,membership_score,topology_score,semantic_score,go_score,expansion_gain,gold_supported
0,YBR154C,inner_orbit,0.22254636121932245,0.44,0.005092722438644871,0.0,0.0,1.0
0,YDL150W,inner_orbit,0.24648301367330866,0.52,-0.027033972653382688,0.0,0.0,1.0
0,YDR005C,inner_orbit,0.1695947907230102,0.4,-0.060810418553979645,0.0,0.0,0.0
0,YDR045C,inner_orbit,0.23394254832269448,0.44,0.02788509664538894,0.0,0.0,1.0
0,YFR028C,outer_orbit,0.015719465507902222,0.12,-0.08856106898419555,0.0,0.0,0.0
0,YGL156W,outer_orbit,0.05284966720121989,0.24,-0.1343006655975602,0.0,0.0,0.0
0,YJL011C,inner_orbit,0.17103247766135296,0.4,-0.05793504467729409,0.0,0.0,1.0
0,YJR063W,inner_orbit,0.2735014478850103,0.48,0.06700289577002062,0.0,0.0,0.0
0,YKL144C,inner_orbit,0.3888970378717554,0.64,0.13779407574351077,0.0,0.0,1.0
0,YKL213C,outer_orbit,0.12024039184056826,0.08,0.16048078368113652,0.0,0.0,0.0
0,YKR025W,inner_orbit,0.23281154501099857,0.44,0.02562309002199716,0.0,0.0,1.0
0,YNL113W,inner_orbit,0.18536276336864232,0.4,-0.029274473262715362,0.0,0.0,1.0
0,YNL151C,inner_orbit,0.24645200052413177,0.56,-0.0670959989517365,0.0,0.0,1.0
0,YNL248C,inner_orbit,0.09200964981110052,0.4,-0.21598070037779898,0.0,0.0,0.0
0,YNR003C,inner_orbit,0.24678429912139638,0.52,-0.02643140175720726,0.0,0.0,1.0
0,YOR116C,inner_orbit,0.33002358517845004,0.64,0.02004717035690002,0.0,0.0,1.0
0,YOR207C,inner_orbit,0.2440557546362071,0.56,-0.07188849072758584,0.0,0.0,1.0
0,YOR210W,inner_orbit,0.2586337120537269,0.36,0.1572674241074539,0.0,0.0,1.0
0,YOR224C,inner_orbit,0.18301930427884333,0.4,-0.03396139144231337,0.0,0.0,1.0
