threshold,iterations,seed,num_modules,mean_size,median_size,n_proteins_assigned,n_overlapping_proteins,overlap_protein_fraction,precision,recall,f1
0.05,100,42,201,12.447761194029852,5.0,1848,481,0.2602813852813853,0.263681592039801,0.08688524590163935,0.13070283600493218
0.1,100,42,170,13.294117647058824,5.0,1848,349,0.18885281385281386,0.29411764705882354,0.08196721311475409,0.12820512820512822
0.15,100,42,158,13.525316455696203,6.0,1848,265,0.14339826839826839,0.2974683544303797,0.07704918032786885,0.12239583333333334
0.2,100,42,153,13.49673202614379,5.0,1848,205,0.11093073593073594,0.3202614379084967,0.08032786885245902,0.12844036697247704
