gold_complex_id,gold_size,best_candidate_id,best_jaccard,category
CPX-603,10,314.0,0.7142857142857143,best_jaccard_ge_0.5
CPX-607,7,106.0,1.0,best_jaccard_ge_0.5
CPX-609,6,510.0,0.8571428571428571,best_jaccard_ge_0.5
CPX-636,3,470.0,0.05,best_jaccard_between_0_and_0.5
CPX-637,2,44.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-656,20,338.0,0.85,best_jaccard_ge_0.5
CPX-684,2,,0.0,best_jaccard_eq_0
CPX-692,2,227.0,0.25,best_jaccard_between_0_and_0.5
CPX-693,2,227.0,0.25,best_jaccard_between_0_and_0.5
CPX-695,2,38.0,0.2857142857142857,best_jaccard_between_0_and_0.5
CPX-728,4,33.0,0.4444444444444444,best_jaccard_between_0_and_0.5
CPX-729,4,635.0,0.09090909090909091,best_jaccard_between_0_and_0.5
CPX-734,2,33.0,0.2222222222222222,best_jaccard_between_0_and_0.5
CPX-737,4,798.0,0.2857142857142857,best_jaccard_between_0_and_0.5
CPX-756,13,239.0,0.6923076923076923,best_jaccard_ge_0.5
CPX-760,14,239.0,0.6428571428571429,best_jaccard_ge_0.5
CPX-761,14,239.0,0.6428571428571429,best_jaccard_ge_0.5
CPX-762,14,239.0,0.6428571428571429,best_jaccard_ge_0.5
CPX-768,6,146.0,1.0,best_jaccard_ge_0.5
CPX-769,3,773.0,0.17647058823529413,best_jaccard_between_0_and_0.5
CPX-770,3,773.0,0.17647058823529413,best_jaccard_between_0_and_0.5
CPX-771,5,773.0,0.15789473684210525,best_jaccard_between_0_and_0.5
CPX-772,6,773.0,0.21052631578947367,best_jaccard_between_0_and_0.5
CPX-773,5,773.0,0.15789473684210525,best_jaccard_between_0_and_0.5
CPX-774,7,6.0,0.25,best_jaccard_between_0_and_0.5
CPX-775,6,6.0,0.2,best_jaccard_between_0_and_0.5
CPX-776,6,6.0,0.2,best_jaccard_between_0_and_0.5
CPX-777,3,284.0,0.25,best_jaccard_between_0_and_0.5
CPX-778,2,228.0,0.5,best_jaccard_ge_0.5
CPX-779,6,450.0,0.8333333333333334,best_jaccard_ge_0.5
CPX-780,2,13.0,0.2857142857142857,best_jaccard_between_0_and_0.5
CPX-781,3,,0.0,best_jaccard_eq_0
CPX-782,2,,0.0,best_jaccard_eq_0
CPX-783,3,124.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-813,2,,0.0,best_jaccard_eq_0
CPX-828,2,43.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-863,15,442.0,0.7333333333333333,best_jaccard_ge_0.5
CPX-867,2,,0.0,best_jaccard_eq_0
CPX-868,2,,0.0,best_jaccard_eq_0
CPX-869,2,276.0,1.0,best_jaccard_ge_0.5
CPX-940,4,,0.0,best_jaccard_eq_0
CPX-946,2,294.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-950,2,294.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-956,3,216.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-961,2,,0.0,best_jaccard_eq_0
CPX-962,2,,0.0,best_jaccard_eq_0
CPX-963,4,,0.0,best_jaccard_eq_0
CPX-964,2,,0.0,best_jaccard_eq_0
CPX-977,4,274.0,0.14285714285714285,best_jaccard_between_0_and_0.5
CPX-995,5,242.0,0.8,best_jaccard_ge_0.5
CPX-999,3,,0.0,best_jaccard_eq_0
CPX-1015,3,,0.0,best_jaccard_eq_0
CPX-1016,3,,0.0,best_jaccard_eq_0
CPX-1018,2,234.0,0.25,best_jaccard_between_0_and_0.5
CPX-1021,2,,0.0,best_jaccard_eq_0
CPX-1022,2,,0.0,best_jaccard_eq_0
CPX-1026,2,,0.0,best_jaccard_eq_0
CPX-1036,2,438.0,0.13333333333333333,best_jaccard_between_0_and_0.5
CPX-1037,2,438.0,0.13333333333333333,best_jaccard_between_0_and_0.5
CPX-1038,2,,0.0,best_jaccard_eq_0
CPX-1039,8,119.0,0.75,best_jaccard_ge_0.5
CPX-1040,3,27.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-1041,10,,0.0,best_jaccard_eq_0
CPX-1042,2,,0.0,best_jaccard_eq_0
CPX-1043,2,,0.0,best_jaccard_eq_0
CPX-1044,2,,0.0,best_jaccard_eq_0
CPX-1045,2,213.0,0.25,best_jaccard_between_0_and_0.5
CPX-1047,2,228.0,0.2,best_jaccard_between_0_and_0.5
CPX-1052,2,228.0,0.2,best_jaccard_between_0_and_0.5
CPX-1053,15,598.0,0.8,best_jaccard_ge_0.5
