confidence_label,assignments,topology_nonzero_fraction,semantic_nonzero_fraction,go_nonzero_fraction,nonzero_evidence_fraction,multi_channel_fraction,dataset,topology_mean,semantic_mean,go_mean,membership_mean
core,1192,1.0,1.0,1.0,1.0,1.0,gavin,,,,
inner,710,0.9366197183098592,0.9943661971830986,0.9929577464788732,1.0,0.995774647887324,gavin,,,,
outer,7,1.0,0.1428571428571428,0.0,1.0,0.1428571428571428,gavin,,,,
uncertain,3,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,gavin,,,,
core,1365,1.0,1.0,1.0,1.0,1.0,krogan,0.7428679632581742,0.7360488657814271,1.0,0.7394584145198005
inner,1442,0.9271844660194175,0.9875173370319001,0.9909847434119279,1.0,0.9909847434119279,krogan,0.18608742866178388,0.6724860509938376,0.9909847434119279,0.42928673982781074
outer,10,1.0,0.9,0.9,1.0,0.9,krogan,0.1075820281083439,0.17892368767214265,0.9,0.14325285789024328
uncertain,4,1.0,0.0,0.0,1.0,0.0,krogan,0.045225221770585675,0.0,0.0,0.022612610885292837
