confidence_label,assignments,topology_nonzero_fraction,semantic_nonzero_fraction,go_nonzero_fraction,nonzero_evidence_fraction,multi_channel_fraction,topology_mean,semantic_mean,go_mean,membership_mean,dataset
core,1365,1.0,1.0,1.0,1.0,1.0,0.7428679632581742,0.7360488657814271,1.0,0.7394584145198005,krogan
inner,1442,0.9271844660194175,0.9875173370319001,0.9909847434119279,1.0,0.9909847434119279,0.18608742866178388,0.6724860509938376,0.9909847434119279,0.42928673982781074,krogan
outer,10,1.0,0.9,0.9,1.0,0.9,0.1075820281083439,0.17892368767214265,0.9,0.14325285789024328,krogan
uncertain,4,1.0,0.0,0.0,1.0,0.0,0.045225221770585675,0.0,0.0,0.022612610885292837,krogan
