method,threshold,iterations,seed,precision,recall,f1,mmr,coverage,sensitivity,ppv,accuracy,mean_size,median_size,num_modules,n_proteins_assigned,n_overlapping_proteins,overlap_protein_fraction,go_coherence,functional_specificity,modules_with_nongeneric_go_fraction,evidence_bundle_completeness,runtime_sec
SLPA,0.05,100,42,0.22344322344322345,0.1,0.13816534541336356,0.07519124102816942,0.13417305585980285,0.1,0.22344322344322345,0.07608695652173914,14.32967032967033,3.0,273,2671,978,0.3661549981280419,0.10131493978631881,0.9884909988543642,1.0,0.0,1.5341639518737793
SLPA,0.1,100,42,0.2571428571428571,0.08852459016393442,0.1317073170731707,0.0697641001450066,0.140197152245345,0.08852459016393442,0.2571428571428571,0.07950310559006211,16.16190476190476,3.0,210,2671,622,0.23287158367652563,0.11143507799761436,0.991657012348794,1.0,0.0,1.6435370445251465
SLPA,0.15,100,42,0.29545454545454547,0.08524590163934426,0.13231552162849874,0.06758563000502542,0.1484118291347207,0.08524590163934426,0.29545454545454547,0.08416149068322981,17.897727272727273,3.0,176,2671,432,0.16173717708723326,0.11857697971199231,0.9928238478273655,1.0,0.0,1.6783928871154785
SLPA,0.2,100,42,0.31875,0.08360655737704918,0.13246753246753246,0.06625422426181193,0.1484118291347207,0.08360655737704918,0.31875,0.08416149068322981,18.76875,3.0,160,2671,313,0.11718457506551853,0.1273018623448114,0.9917034164817057,1.0,0.0,1.5960500240325928
